instrumentId,optionName,indexName,expiryInWords,optionType,optionStrikePrice,expiryInDate
826830,BANKEX 26AUG2025 PE 61500,BANKEX,26AUG2025,PE,61500,2025-08-26T00:00:00
827109,SENSEX 26AUG2025 PE 89100,SENSEX,26AUG2025,PE,89100,2025-08-26T00:00:00
827235,SENSEX 15JUL2025 PE 82800,SENSEX,15JUL2025,PE,82800,2025-07-15T00:00:00
1106268,BANKEX 24JUN2025 PE 51200,BANKEX,24JUN2025,PE,51200,2025-06-24T00:00:00
889317,SENSEX 24JUN2025 CE 81400,SENSEX,24JUN2025,CE,81400,2025-06-24T00:00:00
827057,SENSEX 26AUG2025 PE 87500,SENSEX,26AUG2025,PE,87500,2025-08-26T00:00:00
824917,SENSEX 08JUL2025 CE 87600,SENSEX,08JUL2025,CE,87600,2025-07-08T00:00:00
824910,SENSEX 08JUL2025 CE 79000,SENSEX,08JUL2025,CE,79000,2025-07-08T00:00:00
840190,SENSEX 05AUG2025 PE 77700,SENSEX,05AUG2025,PE,77700,2025-08-05T00:00:00
840043,SENSEX 05AUG2025 PE 80800,SENSEX,05AUG2025,PE,80800,2025-08-05T00:00:00
827106,BANKEX 26AUG2025 PE 58400,BANKEX,26AUG2025,PE,58400,2025-08-26T00:00:00
826609,SENSEX 15JUL2025 PE 85500,SENSEX,15JUL2025,PE,85500,2025-07-15T00:00:00
827190,BANKEX 26AUG2025 CE 57900,BANKEX,26AUG2025,CE,57900,2025-08-26T00:00:00
840397,SENSEX 05AUG2025 PE 82800,SENSEX,05AUG2025,PE,82800,2025-08-05T00:00:00
824638,SENSEX 08JUL2025 PE 86300,SENSEX,08JUL2025,PE,86300,2025-07-08T00:00:00
826473,SENSEX 15JUL2025 CE 80300,SENSEX,15JUL2025,CE,80300,2025-07-15T00:00:00
1127328,SENSEX 24JUN2025 CE 84700,SENSEX,24JUN2025,CE,84700,2025-06-24T00:00:00
889426,SENSEX 24JUN2025 PE 81600,SENSEX,24JUN2025,PE,81600,2025-06-24T00:00:00
821967,SENSEX 01JUL2025 CE 76000,SENSEX,01JUL2025,CE,76000,2025-07-01T00:00:00
880620,SENSEX 24JUN2025 PE 80000,SENSEX,24JUN2025,PE,80000,2025-06-24T00:00:00
827464,SENSEX 15JUL2025 PE 75800,SENSEX,15JUL2025,PE,75800,2025-07-15T00:00:00
865928,SENSEX 24JUN2025 PE 75000,SENSEX,24JUN2025,PE,75000,2025-06-24T00:00:00
828448,SENSEX 22JUL2025 PE 83800,SENSEX,22JUL2025,PE,83800,2025-07-22T00:00:00
1140518,SENSEX 29JUL2025 CE 87800,SENSEX,29JUL2025,CE,87800,2025-07-29T00:00:00
843459,SENSEX 28DEC2027 PE 85000,SENSEX,28DEC2027,PE,85000,2027-12-28T00:00:00
824655,SENSEX 08JUL2025 PE 76500,SENSEX,08JUL2025,PE,76500,2025-07-08T00:00:00
840224,SENSEX 05AUG2025 PE 79300,SENSEX,05AUG2025,PE,79300,2025-08-05T00:00:00
840096,SENSEX 05AUG2025 PE 83400,SENSEX,05AUG2025,PE,83400,2025-08-05T00:00:00
822143,SENSEX 01JUL2025 CE 88200,SENSEX,01JUL2025,CE,88200,2025-07-01T00:00:00
826901,BANKEX 26AUG2025 CE 62400,BANKEX,26AUG2025,CE,62400,2025-08-26T00:00:00
1106701,SENSEX 24JUN2025 PE 68200,SENSEX,24JUN2025,PE,68200,2025-06-24T00:00:00
839851,SENSEX 05AUG2025 PE 76700,SENSEX,05AUG2025,PE,76700,2025-08-05T00:00:00
826674,SENSEX 26AUG2025 CE 80100,SENSEX,26AUG2025,CE,80100,2025-08-26T00:00:00
827264,SENSEX 26AUG2025 CE 86500,SENSEX,26AUG2025,CE,86500,2025-08-26T00:00:00
1100949,BANKEX 24JUN2025 PE 56500,BANKEX,24JUN2025,PE,56500,2025-06-24T00:00:00
1140080,BANKEX 29JUL2025 PE 55600,BANKEX,29JUL2025,PE,55600,2025-07-29T00:00:00
827253,SENSEX 26AUG2025 CE 76500,SENSEX,26AUG2025,CE,76500,2025-08-26T00:00:00
846473,SENSEX 27JUN2028 CE 84000,SENSEX,27JUN2028,CE,84000,2028-06-27T00:00:00
1101269,BANKEX 24JUN2025 PE 63600,BANKEX,24JUN2025,PE,63600,2025-06-24T00:00:00
828514,SENSEX 22JUL2025 CE 74900,SENSEX,22JUL2025,CE,74900,2025-07-22T00:00:00
828894,SENSEX 22JUL2025 CE 75600,SENSEX,22JUL2025,CE,75600,2025-07-22T00:00:00
820904,SENSEX 29JUL2025 CE 89800,SENSEX,29JUL2025,CE,89800,2025-07-29T00:00:00
1126844,BANKEX 24JUN2025 CE 67900,BANKEX,24JUN2025,CE,67900,2025-06-24T00:00:00
826585,SENSEX 15JUL2025 CE 85200,SENSEX,15JUL2025,CE,85200,2025-07-15T00:00:00
822397,SENSEX 01JUL2025 PE 75900,SENSEX,01JUL2025,PE,75900,2025-07-01T00:00:00
1139680,SENSEX 26DEC2028 PE 76000,SENSEX,26DEC2028,PE,76000,2028-12-26T00:00:00
1106127,SENSEX 24JUN2025 CE 66400,SENSEX,24JUN2025,CE,66400,2025-06-24T00:00:00
840366,SENSEX 05AUG2025 PE 82600,SENSEX,05AUG2025,PE,82600,2025-08-05T00:00:00
1141500,BANKEX 29JUL2025 PE 62100,BANKEX,29JUL2025,PE,62100,2025-07-29T00:00:00
826610,SENSEX 26AUG2025 CE 82200,SENSEX,26AUG2025,CE,82200,2025-08-26T00:00:00
1140000,BANKEX 29JUL2025 PE 56000,BANKEX,29JUL2025,PE,56000,2025-07-29T00:00:00
827260,SENSEX 15JUL2025 CE 84100,SENSEX,15JUL2025,CE,84100,2025-07-15T00:00:00
843736,SENSEX 29DEC2026 PE 85000,SENSEX,29DEC2026,PE,85000,2026-12-29T00:00:00
826528,SENSEX 15JUL2025 PE 75300,SENSEX,15JUL2025,PE,75300,2025-07-15T00:00:00
877170,SENSEX 30DEC2025 PE 68000,SENSEX,30DEC2025,PE,68000,2025-12-30T00:00:00
826838,SENSEX 15JUL2025 CE 81400,SENSEX,15JUL2025,CE,81400,2025-07-15T00:00:00
824861,SENSEX 08JUL2025 CE 87900,SENSEX,08JUL2025,CE,87900,2025-07-08T00:00:00
824625,SENSEX 08JUL2025 CE 86000,SENSEX,08JUL2025,CE,86000,2025-07-08T00:00:00
828565,SENSEX 22JUL2025 CE 74400,SENSEX,22JUL2025,CE,74400,2025-07-22T00:00:00
1141098,SENSEX 29JUL2025 CE 83500,SENSEX,29JUL2025,CE,83500,2025-07-29T00:00:00
828878,SENSEX 22JUL2025 PE 73400,SENSEX,22JUL2025,PE,73400,2025-07-22T00:00:00
